Start performance test

Loop: 48 			 Variation: 1 			 Cycles: 49000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.780064 ms
Loop: 48 			 Variation: 2 			 Cycles: 49000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.771168 ms
Loop: 49 			 Variation: 0 			 Cycles: 50000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.545010 ms
Loop: 49 			 Variation: 1 			 Cycles: 50000 			 Cache: 1 			  MethodCache: 0 			 Duration: 1.178163 ms
Loop: 49 			 Variation: 2 			 Cycles: 50000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.788978 ms
Loop: 50 			 Variation: 0 			 Cycles: 51000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.296845 ms
Loop: 50 			 Variation: 1 			 Cycles: 51000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.905755 ms
Loop: 50 			 Variation: 2 			 Cycles: 51000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.804734 ms
Loop: 51 			 Variation: 0 			 Cycles: 52000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.277718 ms
Loop: 51 			 Variation: 1 			 Cycles: 52000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.842373 ms
Loop: 51 			 Variation: 2 			 Cycles: 52000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.832685 ms
Loop: 52 			 Variation: 0 			 Cycles: 53000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.289959 ms
Loop: 52 			 Variation: 1 			 Cycles: 53000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.839607 ms
Loop: 52 			 Variation: 2 			 Cycles: 53000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.827332 ms
Loop: 53 			 Variation: 0 			 Cycles: 54000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.305784 ms
Loop: 53 			 Variation: 1 			 Cycles: 54000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.846066 ms
Loop: 53 			 Variation: 2 			 Cycles: 54000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.845997 ms
Loop: 54 			 Variation: 0 			 Cycles: 55000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.339527 ms
Loop: 54 			 Variation: 1 			 Cycles: 55000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.862003 ms
Loop: 54 			 Variation: 2 			 Cycles: 55000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.848115 ms
Loop: 55 			 Variation: 0 			 Cycles: 56000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.352381 ms
Loop: 55 			 Variation: 1 			 Cycles: 56000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.907922 ms
Loop: 55 			 Variation: 2 			 Cycles: 56000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.893082 ms
Loop: 56 			 Variation: 0 			 Cycles: 57000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.386209 ms
Loop: 56 			 Variation: 1 			 Cycles: 57000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.904891 ms
Loop: 56 			 Variation: 2 			 Cycles: 57000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.884722 ms
Loop: 57 			 Variation: 0 			 Cycles: 58000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.524604 ms
Loop: 57 			 Variation: 1 			 Cycles: 58000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.910884 ms
Loop: 57 			 Variation: 2 			 Cycles: 58000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.904763 ms
Loop: 58 			 Variation: 0 			 Cycles: 59000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.420845 ms
Loop: 58 			 Variation: 1 			 Cycles: 59000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.924187 ms
Loop: 58 			 Variation: 2 			 Cycles: 59000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.914739 ms
Loop: 59 			 Variation: 0 			 Cycles: 60000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.481261 ms
Loop: 59 			 Variation: 1 			 Cycles: 60000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.966810 ms
Loop: 59 			 Variation: 2 			 Cycles: 60000 			 Cache: 1 			  MethodCache: 1 			 Duration: 0.938625 ms
Loop: 60 			 Variation: 0 			 Cycles: 61000 			 Cache: 0 			  MethodCache: 0 			 Duration: 1.490324 ms
Loop: 60 			 Variation: 1 			 Cycles: 61000 			 Cache: 1 			  MethodCache: 0 			 Duration: 0.957821 ms
